sentenceCount,wordCount,spellingErrors,grammarErrors,topicCoherenceScore,avgSentLen,uniqWordCount,fleschReadingEase,CLIndex
16,177,13,1,3533.6937564871128,21.875,118,74.02,8.54
20,238,23,3,4573.512329481875,21.15,146,67.08,7.95
14,147,9,9,3018.632396159893,20.21428571,109,68.2,8.3
27,318,48,8,5288.051228286702,19.62962963,204,53.34,11.26
30,249,13,3,4695.911623335426,15.76666667,148,72.66,8.0
15,121,16,1,2259.6382477629304,16.46666667,96,77.67,6.33
30,273,10,0,5225.39948073797,16.93333333,171,70.94,8.29
39,284,10,8,5998.02367558593,13.02564103,156,74.39,8.05
35,240,8,4,4671.780850746951,12.88571429,169,75.2,6.66
26,249,8,5,4996.955878336488,19.96153846,156,75.64,6.62
22,196,10,4,3726.0418219650455,15.0,164,64.3,10.84
25,205,31,6,3892.843813996294,16.04,116,71.85,8.29
6,106,16,3,1820.494034700469,34.0,82,62.35,5.99
25,191,16,8,3202.6802294497643,12.28,101,83.86,6.13
13,102,7,2,2006.2247597616463,13.61538462,74,72.16,8.58
35,319,28,3,5971.097879852004,15.25714286,205,63.7,10.55
18,150,8,3,2955.297642625031,19.27777778,94,77.98,7.31
15,178,8,13,3816.721942140268,24.93333333,121,72.09,7.49
7,45,26,0,258.62189082846953,9.428571429,40,87.31,6.52
11,99,5,4,2060.9805913455702,14.54545455,71,73.98,7.71
20,197,13,3,3662.3133433560142,18.4,139,68.81,8.7
2,31,2,0,702.6495933461116,28.0,23,59.98,9.87
30,277,23,4,5013.769153925298,17.66666667,173,70.13,7.89
39,334,20,1,6365.41914466684,14.76923077,198,71.75,8.7
16,160,5,3,3019.223788207185,18.5,93,69.82,9.4
22,194,17,1,3436.0237001431597,16.5,122,66.88,8.12
7,64,10,1,1080.8015868404566,17.42857143,44,76.56,7.43
28,216,12,1,4091.8500190926047,12.96428571,142,74.39,8.52
23,190,12,3,3353.4107748159895,16.39130435,121,71.24,7.89
15,142,3,1,3024.0372484326354,17.6,85,69.72,8.36
34,272,19,2,5180.106355672649,14.23529412,183,71.85,7.36
36,282,12,2,5471.985701581939,13.86111111,178,73.27,7.82
12,99,9,3,2139.186544801935,13.91666667,73,74.29,7.36
26,195,15,7,3681.904395750449,14.23076923,129,81.53,5.56
33,235,6,6,4635.26479807413,12.75757576,131,75.71,7.18
24,269,20,3,4990.720368856773,22.79166667,187,65.46,8.48
31,285,23,7,5345.5833370619775,15.83870968,191,80.31,7.36
17,178,4,10,3455.240760456438,20.70588235,121,67.38,7.25
22,250,8,5,5389.057494801404,20.27272727,161,64.64,7.9
15,109,8,1,2230.007959256304,13.0,85,75.5,6.42
3,23,0,1,553.6285365906892,13.66666667,19,74.49,7.18
14,138,11,1,2412.1279482799896,20.35714286,91,74.83,6.96
8,71,4,2,1517.1972929747053,17.875,55,70.63,8.18
28,182,14,6,3371.940514954599,11.21428571,82,83.66,5.55
20,167,12,5,3353.978794047384,16.3,107,78.69,6.55
11,158,4,13,3257.181787947194,28.27272727,72,60.89,8.36
18,174,13,7,3555.1361388424357,17.66666667,120,78.08,6.73
33,258,10,8,5255.551360416828,17.03030303,164,79.09,6.15
27,171,2,1,3422.432661561911,11.77777778,101,76.52,8.27
